"SPECIES","n"
"Eurasian kestrel",7
"Fish crow",7
"Flammulated owl",7
"Greater roadrunner",7
"Gulls, terns, kittiwakes",7
"Hooded oriole",7
"Long-tailed jaeger",7
"Mallard/mottled duck complex",7
"Nanday parakeet",7
"Purple gallinule",7
"Red phalarope",7
"Red-masked parakeet",7
"Surf scoter",7
"Townsend's solitaire",7
"Vireos",7
"Western mastiff bat",7
"White-winged crossbill",7
"Wilson's plover",7
"Arctic tern",6
"Black kite",6
"Canids",6
"Cassin's finch",6
"Collared peccary",6
"Common gull",6
"Gray flycatcher",6
"Harris's hawk",6
"Larks",6
"Moose",6
"Orioles",6
"Piping plover",6
"Ptarmigans",6
"Sandwich tern",6
"Scaled quail",6
"Scaly-naped pigeon",6
"Western barn owl",6
"Western rat snake",6
"White-tailed hawk",6
"White-tailed prairie dog",6
"Yellow-bellied marmot",6
"Yellow-fronted canary",6
"American goshawk",5
"Black-headed gull complex",5
"Brandt's cormorant",5
"Carolina chickadee",5
"Common kingsnake",5
"Costa's hummingbird",5
"Eared dove",5
"Eurasian buzzard",5
"Evening grosbeak",5
"Horse",5
"Indian pipistrelle",5
"Indian silverbill",5
"King rail",5
"Louisiana waterthrush",5
"Monk parakeet",5
"Muscovy duck",5
"Neotropic cormorant",5
"Parrots",5
"Pocketed free-tailed bat",5
"Red knot",5
"Reddish egret",5
"Roseate spoonbill",5
"Short-tailed hawk",5
"Stilt sandpiper",5
"Sulphur-bellied flycatcher",5
"Swans",5
"Tropical kingbird",5
"Western diamondback rattlesnake",5
"Western pipistrelle",5
"White-breasted nuthatch",5
"White-crested elaenia",5
"White-crowned pigeon",5
"African collared dove",4
"Barrow's goldeneye",4
"Bewick's wren",4
"Big free-tailed bat",4
"Blue-winged warbler",4
"Brown-crested flycatcher",4
"Chukar",4
"Coastal plain cooter",4
"Common snipe",4
"Eastern cattle egret",4
"Egyptian free-tailed bat",4
"Elegant tern",4
"Gambel's quail",4
"Great gray owl",4
"Iceland gull",4
"Japanese white-eye",4
"Kit fox",4
"North American beaver",4
"Northern water snake",4
"Olive sparrow",4
"Quails, pheasants",4
"Red-breasted sapsucker",4
"Red-footed booby",4
"Red-tailed tropicbird",4
"Ruffed grouse",4
"Sagebrush sparrow",4
"Tufted titmouse",4
"Waxbills, mannikins, parrotfinches",4
"Western fox snake",4
"Western small-footed myotis",4
"Allen's hummingbird",3
