"SPECIES","PHASE_OF_FLIGHT","TIME_OF_DAY","reported_strikes","damaging_strikes","damage_rate"
"Moose","Taxi","Day",1,1,1
"Mottled duck","Approach","Night",1,1,1
"Mourning dove","En Route","Dawn",1,1,1
"Mule deer","Approach","Dusk",1,1,1
"Mule deer","Climb","Night",1,1,1
"Mule deer","Landing Roll","Dawn",1,1,1
"Muscovy duck","Landing Roll","Dusk",1,1,1
"Mute swan","Approach","Day",1,1,1
"Mute swan","Approach","Night",1,1,1
"Mute swan","Climb","Day",1,1,1
"New World vultures","Climb","Dawn",1,1,1
"New World vultures","Local","Day",1,1,1
"Northern bobwhite","Climb","Dawn",1,1,1
"Northern harrier","Approach","Dawn",1,1,1
"Northern harrier","Approach","Night",1,1,1
"Northern harrier","Climb","Dusk",1,1,1
"Northern lapwing","Climb","Day",1,1,1
"Northern mockingbird","Departure","Day",1,1,1
"Northern pintail","En Route","Night",1,1,1
"Northern pintail","Landing Roll","Dawn",1,1,1
"Northern saw-whet owl","Descent","Night",1,1,1
"Northern shoveler","Approach","Dawn",1,1,1
"Northern shoveler","Climb","Dawn",1,1,1
"Northern shoveler","Climb","Dusk",1,1,1
"Northern shoveler","Descent","Dusk",1,1,1
"Old World vultures","Approach","Day",1,1,1
"Osprey","Arrival","Day",1,1,1
"Osprey","Climb","Night",1,1,1
"Owls","Local","Dawn",1,1,1
"Pacific loon","En Route","Day",1,1,1
"Pectoral sandpiper","Climb","Day",1,1,1
"Pectoral sandpiper","Climb","Dusk",1,1,1
"Pelicans","Local","Day",1,1,1
"Peregrine falcon","Take-off Run","Night",1,1,1
"Pheasants","Approach","Day",1,1,1
"Philippine duck","Take-off Run","Night",1,1,1
"Pied-billed grebe","Approach","Day",1,1,1
"Piping plover","Climb","Day",1,1,1
"Plovers, lapwings","Approach","Dawn",1,1,1
"Prairie falcon","En Route","Day",1,1,1
"Pronghorn","Landing Roll","Night",1,1,1
"Pronghorn","Take-off Run","Day",1,1,1
"Pronghorn","Take-off Run","Dusk",1,1,1
"Ptarmigans","Take-off Run","Day",1,1,1
"Purple gallinule","En Route","Night",1,1,1
"Quails, pheasants","Take-off Run","Dawn",1,1,1
"Rails","Take-off Run","Day",1,1,1
"Red-breasted merganser","Approach","Day",1,1,1
"Red-eyed vireo","Approach","Dusk",1,1,1
"Red-naped sapsucker","Climb","Day",1,1,1
"Red-necked grebe","Arrival","Day",1,1,1
"Red-necked grebe","Climb","Day",1,1,1
"Red-necked grebe","Take-off Run","Night",1,1,1
"Red-shouldered hawk","En Route","Night",1,1,1
"Red-tailed hawk","Taxi","Dawn",1,1,1
"Red-tailed tropicbird","Climb","Day",1,1,1
"Red-throated loon","Approach","Night",1,1,1
"Red-throated loon","En Route","Dawn",1,1,1
"Red-throated loon","En Route","Day",1,1,1
"Red-winged blackbird","Landing Roll","Dusk",1,1,1
"Redhead","Approach","Day",1,1,1
"Redhead","Approach","Dusk",1,1,1
"Redhead","Climb","Dawn",1,1,1
"Redhead","Climb","Night",1,1,1
"Ring-billed gull","En Route","Dusk",1,1,1
"Ring-billed gull","En Route","Night",1,1,1
"Ring-necked duck","Descent","Night",1,1,1
"River otter","Landing Roll","Day",1,1,1
"Rock pigeon","En Route","Dusk",1,1,1
"Rock ptarmigan","En Route","Dusk",1,1,1
"Rough-legged hawk","Landing Roll","Dawn",1,1,1
"Royal tern","Climb","Dawn",1,1,1
"Royal tern","Take-off Run","Day",1,1,1
"Ruddy duck","Climb","Dusk",1,1,1
"Ruddy duck","En Route","Night",1,1,1
"Ruddy duck","Landing Roll","Day",1,1,1
"Sandhill crane","Climb","Dawn",1,1,1
"Sandhill crane","Climb","Dusk",1,1,1
"Sandhill crane","Descent","Day",1,1,1
"Scaly-naped pigeon","Departure","Day",1,1,1
"Sedge wren","Climb","Night",1,1,1
"Sharp-tailed grouse","En Route","Day",1,1,1
