"SPECIES","LABEL_TYPE","REPORTED_STRIKES","KNOWN_DAMAGE_REPORTS","DAMAGING_STRIKES","MISSING_DAMAGE_REPORTS","DAMAGE_RATE","COUNT_RANK","RATE_RANK"
"Varied thrush","Named species",162,162,20,0,0.123456790123457,62,58
"American black duck","Named species",103,103,12,0,0.116504854368932,86,59
"Western gull","Named species",241,241,28,0,0.116182572614108,54,60
"Black-headed grosbeak","Named species",52,52,6,0,0.115384615384615,132,61
"Blue-billed white tern","Named species",38,38,4,0,0.105263157894737,158,62
"Great horned owl","Named species",468,468,49,0,0.104700854700855,33,63
"White ibis","Named species",48,48,5,0,0.104166666666667,147,64
"Glaucous gull","Named species",49,49,5,0,0.102040816326531,147,65
"Pied-billed grebe","Named species",69,69,7,0,0.101449275362319,127,66
"California gull","Named species",366,366,37,0,0.101092896174863,44,67
"Snowy egret","Named species",68,68,6,0,0.0882352941176471,132,68
"Rough-legged hawk","Named species",140,140,12,0,0.0857142857142857,86,69
"Whimbrel","Named species",35,35,3,0,0.0857142857142857,185,69
"Snowy owl","Named species",394,394,33,0,0.083756345177665,49,71
"Gray partridge","Named species",48,48,4,0,0.0833333333333333,158,72
"American alligator","Named species",37,37,3,0,0.0810810810810811,185,73
"Yellow-crowned night heron","Named species",173,173,14,0,0.0809248554913295,79,74
"Great black-backed gull","Named species",211,211,17,0,0.0805687203791469,71,75
"Herring gull","Named species",2243,2243,176,0,0.0784663397235845,11,76
"Coyote","Named species",988,988,75,0,0.0759109311740891,23,77
"Sora","Named species",185,185,14,0,0.0756756756756757,79,78
"Short-billed gull","Named species",94,94,7,0,0.074468085106383,127,79
"Franklin's gull","Named species",294,294,21,0,0.0714285714285714,60,80
"Great egret","Named species",196,196,14,0,0.0714285714285714,79,80
"American robin","Named species",2782,2782,198,0,0.0711718188353702,10,82
"Black-billed magpie","Named species",43,43,3,0,0.0697674418604651,185,83
"Rock pigeon","Named species",4771,4771,326,0,0.0683294906728149,5,84
"American crow","Named species",794,794,54,0,0.0680100755667506,30,85
"Veery","Named species",134,134,9,0,0.0671641791044776,109,86
"Northern flicker","Named species",255,255,17,0,0.0666666666666667,71,87
"Red-shouldered hawk","Named species",151,151,10,0,0.0662251655629139,102,88
"Black-crowned night heron","Named species",185,185,12,0,0.0648648648648649,86,89
"Caspian tern","Named species",62,62,4,0,0.0645161290322581,158,90
"Wood thrush","Named species",140,140,9,0,0.0642857142857143,109,91
"Ferruginous hawk","Named species",78,78,5,0,0.0641025641025641,147,92
"Yellow-bellied sapsucker","Named species",235,235,15,0,0.0638297872340425,76,93
"Ring-billed gull","Named species",2489,2489,151,0,0.0606669345118521,14,94
"Wilson's snipe","Named species",317,317,19,0,0.0599369085173502,66,95
"Spotted sandpiper","Named species",69,69,4,0,0.0579710144927536,158,96
"Peregrine falcon","Named species",699,699,39,0,0.055793991416309,41,97
"Common swift","Named species",36,36,2,0,0.0555555555555556,214,98
