"SPECIES","LABEL_TYPE","REPORTED_STRIKES","KNOWN_DAMAGE_REPORTS","DAMAGING_STRIKES","MISSING_DAMAGE_REPORTS","DAMAGE_RATE","COUNT_RANK"
"Common swift","Named species",36,36,2,0,0.0555555555555556,214
"Common gray fox","Named species",25,25,2,0,0.08,214
"Green-tailed towhee","Named species",25,25,2,0,0.08,214
"Hawaiian goose","Named species",14,14,2,0,0.142857142857143,214
"Common gallinule","Named species",13,13,2,0,0.153846153846154,214
"Royal tern","Named species",13,13,2,0,0.153846153846154,214
"Marbled godwit","Named species",12,12,2,0,0.166666666666667,214
"Northern saw-whet owl","Named species",11,11,2,0,0.181818181818182,214
"Glossy ibis","Named species",10,10,2,0,0.2,214
"Southern lapwing","Named species",9,9,2,0,0.222222222222222,214
"Eastern screech-owl","Named species",8,8,2,0,0.25,214
"Surf scoter","Named species",7,7,2,0,0.285714285714286,214
"Western mastiff bat","Named species",7,7,2,0,0.285714285714286,214
"Collared peccary","Named species",6,6,2,0,0.333333333333333,214
"Short-tailed hawk","Named species",5,5,2,0,0.4,214
"Townsend's solitaire","Named species",5,5,2,0,0.4,214
"Caribou","Named species",3,3,2,0,0.666666666666667,214
"Hawaiian hawk","Named species",3,3,2,0,0.666666666666667,214
"Trumpeter swan","Named species",2,2,2,0,1,214
"Tree swallow","Named species",1386,1386,1,0,0.000721500721500722,259
"American pipit","Named species",558,558,1,0,0.0017921146953405,259
"Virginia opossum","Named species",534,534,1,0,0.00187265917602996,259
"Ruby-crowned kinglet","Named species",471,471,1,0,0.00212314225053079,259
"Scissor-tailed flycatcher","Named species",469,469,1,0,0.00213219616204691,259
"White-tailed jackrabbit","Named species",275,275,1,0,0.00363636363636364,259
"Northern rough-winged swallow","Named species",186,186,1,0,0.00537634408602151,259
"Silver-haired bat","Named species",180,180,1,0,0.00555555555555556,259
"Semipalmated plover","Named species",179,179,1,0,0.00558659217877095,259
"Scaly-breasted munia","Named species",165,165,1,0,0.00606060606060606,259
"Vesper sparrow","Named species",164,164,1,0,0.00609756097560976,259
"Northern parula","Named species",134,134,1,0,0.00746268656716418,259
"Blue-gray gnatcatcher","Named species",125,125,1,0,0.008,259
"Mountain bluebird","Named species",117,117,1,0,0.00854700854700855,259
"Boat-tailed grackle","Named species",110,110,1,0,0.00909090909090909,259
"Eastern wood-pewee","Named species",102,102,1,0,0.00980392156862745,259
"Vaux's swift","Named species",98,98,1,0,0.0102040816326531,259
"Chestnut munia","Named species",97,97,1,0,0.0103092783505155,259
"Field sparrow","Named species",97,97,1,0,0.0103092783505155,259
"Eastern phoebe","Named species",96,96,1,0,0.0104166666666667,259
"Bobolink","Named species",83,83,1,0,0.0120481927710843,259
"Marsh wren","Named species",72,72,1,0,0.0138888888888889,259
"Nine-banded armadillo","Named species",68,68,1,0,0.0147058823529412,259
"Barred owl","Named species",65,65,1,0,0.0153846153846154,259
"Dickcissel","Named species",65,65,1,0,0.0153846153846154,259
"Sanderling","Named species",65,65,1,0,0.0153846153846154,259
"Baltimore oriole","Named species",64,64,1,0,0.015625,259
"Blue jay","Named species",62,62,1,0,0.0161290322580645,259
"Virginia rail","Named species",61,61,1,0,0.0163934426229508,259
"Yellow-bellied flycatcher","Named species",56,56,1,0,0.0178571428571429,259
"Yellow-throated warbler","Named species",56,56,1,0,0.0178571428571429,259
"Prairie falcon","Named species",46,46,1,0,0.0217391304347826,259
"Black skimmer","Named species",40,40,1,0,0.025,259
"Gray kingbird","Named species",40,40,1,0,0.025,259
"Zenaida dove","Named species",34,34,1,0,0.0294117647058824,259
"Little blue heron","Named species",30,30,1,0,0.0333333333333333,259
"Wedge-tailed shearwater","Named species",30,30,1,0,0.0333333333333333,259
"Sedge wren","Named species",29,29,1,0,0.0344827586206897,259
"Solitary sandpiper","Named species",28,28,1,0,0.0357142857142857,259
"White-rumped sandpiper","Named species",28,28,1,0,0.0357142857142857,259
"Orchard oriole","Named species",27,27,1,0,0.037037037037037,259
"Chuck-will's-widow","Named species",26,26,1,0,0.0384615384615385,259
"Common poorwill","Named species",26,26,1,0,0.0384615384615385,259
"Philadelphia vireo","Named species",26,26,1,0,0.0384615384615385,259
"Willet","Named species",25,25,1,0,0.04,259
"Western bluebird","Named species",24,24,1,0,0.0416666666666667,259
"Belted kingfisher","Named species",21,21,1,0,0.0476190476190476,259
