"SPECIES","SPECIES_GROUP","REVIEW_STATUS"
"Blue-winged teal","Waterfowl","Existing assignment; not fully audited"
"Blue-winged warbler","Perching birds","Existing assignment; not fully audited"
"Blue-winged/cinnamon/green-winged teal complex","Waterfowl","Existing assignment; not fully audited"
"Bluethroat","Perching birds","Reviewed 2026-09-18"
"Boat-tailed grackle","Perching birds","Existing assignment; not fully audited"
"Bobcat","Other mammals","Existing assignment; not fully audited"
"Bobolink","Perching birds","Reviewed 2026-09-18"
"Bohemian waxwing","Perching birds","Existing assignment; not fully audited"
"Bonaparte's gull","Gulls & terns","Existing assignment; not fully audited"
"Bonin petrel","Seabirds","Existing assignment; not fully audited"
"Botta's pocket gopher","Other mammals","Existing assignment; not fully audited"
"Brandt's cormorant","Seabirds","Existing assignment; not fully audited"
"Brant","Waterfowl","Existing assignment; not fully audited"
"Brazilian free-tailed bat","Bats","Existing assignment; not fully audited"
"Brewer's blackbird","Perching birds","Existing assignment; not fully audited"
"Brewer's sparrow","Perching birds","Existing assignment; not fully audited"
"Broad-eared bat","Bats","Existing assignment; not fully audited"
"Broad-tailed hummingbird","Other birds","Existing assignment; not fully audited"
"Broad-winged hawk","Raptors","Existing assignment; not fully audited"
"Bronze mannikin","Perching birds","Reviewed 2026-09-18"
"Brown bear","Other mammals","Existing assignment; not fully audited"
"Brown booby","Seabirds","Existing assignment; not fully audited"
"Brown creeper","Perching birds","Reviewed 2026-09-18"
"Brown flower bat","Bats","Existing assignment; not fully audited"
"Brown noddy","Gulls & terns","Reviewed 2026-09-18"
"Brown pelican","Seabirds","Existing assignment; not fully audited"
"Brown thrasher","Perching birds","Existing assignment; not fully audited"
"Brown-crested flycatcher","Perching birds","Existing assignment; not fully audited"
"Brown-headed cowbird","Perching birds","Existing assignment; not fully audited"
"Brown-throated parakeet","Other birds","Reviewed 2026-09-18"
"Brush rabbit","Other mammals","Existing assignment; not fully audited"
"Budgerigar","Other birds","Reviewed 2026-09-18"
"Buff-breasted sandpiper","Shorebirds","Existing assignment; not fully audited"
"Bufflehead","Waterfowl","Existing assignment; not fully audited"
"Bullock's oriole","Perching birds","Existing assignment; not fully audited"
"Burrowing owl","Raptors","Existing assignment; not fully audited"
"Bushtit","Perching birds","Reviewed 2026-09-18"
"Cackling goose","Waterfowl","Existing assignment; not fully audited"
"Cactus wren","Perching birds","Existing assignment; not fully audited"
"California ground squirrel","Other mammals","Existing assignment; not fully audited"
"California gull","Gulls & terns","Existing assignment; not fully audited"
"California kingsnake","Reptiles & amphibians","Reviewed 2026-09-18"
"California myotis","Bats","Reviewed 2026-09-18"
"California quail","Upland game birds","Existing assignment; not fully audited"
"California towhee","Perching birds","Existing assignment; not fully audited"
"Calliope hummingbird","Other birds","Existing assignment; not fully audited"
"Canada goose","Waterfowl","Existing assignment; not fully audited"
"Canada jay","Corvids","Existing assignment; not fully audited"
"Canada warbler","Perching birds","Existing assignment; not fully audited"
"Canids","Other mammals","Reviewed 2026-09-18"
"Canvasback","Waterfowl","Reviewed 2026-09-18"
"Cape May warbler","Perching birds","Existing assignment; not fully audited"
"Cape serotine","Bats","Reviewed 2026-09-18"
"Caribbean martin","Perching birds","Existing assignment; not fully audited"
"Caribou","Deer","Existing assignment; not fully audited"
"Carolina chickadee","Perching birds","Existing assignment; not fully audited"
"Carolina wren","Perching birds","Existing assignment; not fully audited"
"Carrion crow","Corvids","Existing assignment; not fully audited"
"Caspian tern","Gulls & terns","Existing assignment; not fully audited"
"Cassin's finch","Perching birds","Existing assignment; not fully audited"
"Cassin's sparrow","Perching birds","Existing assignment; not fully audited"
"Cassin's vireo","Perching birds","Existing assignment; not fully audited"
